               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040914,            0.046378,           0.0060187,             0.86691,             0.82802,             0.89662,             0.59438,            0.035959,              0.0245,           0.0031637,            0.006535,            0.006535,            0.006535
                  37,            0.038996,            0.043613,           0.0066443,             0.86006,             0.83459,             0.90302,             0.60701,            0.036423,            0.024236,           0.0030911,            0.006436,            0.006436,            0.006436
                  38,            0.038802,            0.041364,           0.0063261,             0.85629,             0.84634,             0.90496,             0.60953,             0.03585,            0.024092,           0.0030365,            0.006337,            0.006337,            0.006337
                  39,            0.041564,            0.047243,           0.0059387,             0.84486,             0.84913,             0.90461,             0.59241,            0.037487,             0.02443,           0.0030663,            0.006238,            0.006238,            0.006238
                  40,            0.037981,            0.042177,           0.0057605,             0.88617,             0.84725,              0.9164,             0.62108,            0.034909,            0.024183,             0.00309,            0.006139,            0.006139,            0.006139
                  41,            0.037948,            0.037915,            0.006526,             0.89271,             0.83663,             0.91332,             0.61545,            0.037483,            0.024639,           0.0030916,             0.00604,             0.00604,             0.00604
                  42,             0.03981,             0.04435,            0.006441,             0.87275,             0.85057,             0.90614,             0.61205,            0.035022,            0.024309,           0.0030963,            0.005941,            0.005941,            0.005941
                  43,            0.038399,            0.037848,           0.0060854,             0.84644,             0.85858,             0.90277,             0.60656,            0.037699,            0.024391,           0.0031064,            0.005842,            0.005842,            0.005842
                  44,            0.037829,            0.040078,           0.0059449,             0.82821,             0.86083,             0.90512,             0.61776,             0.03497,            0.023731,           0.0030847,            0.005743,            0.005743,            0.005743
                  45,            0.039757,            0.038175,           0.0060162,             0.81418,             0.87238,             0.91633,             0.62743,            0.035438,            0.023708,           0.0031118,            0.005644,            0.005644,            0.005644
                  46,            0.037113,            0.037952,           0.0057108,             0.84318,             0.86013,             0.91815,             0.63129,            0.033887,            0.023432,           0.0031377,            0.005545,            0.005545,            0.005545
                  47,            0.036759,            0.038405,           0.0058303,             0.84596,             0.86209,             0.91829,              0.6218,             0.03511,            0.023455,           0.0031906,            0.005446,            0.005446,            0.005446
                  48,            0.036678,             0.03837,            0.006287,             0.89049,             0.83455,             0.91878,             0.63472,            0.034195,            0.023502,           0.0032461,            0.005347,            0.005347,            0.005347
                  49,            0.036757,            0.037082,           0.0062874,             0.91159,             0.81873,              0.9228,             0.63797,            0.034485,            0.023673,           0.0032805,            0.005248,            0.005248,            0.005248
                  50,            0.037669,            0.036454,           0.0058558,             0.88572,             0.84516,             0.92702,             0.63616,            0.034316,            0.023431,           0.0032452,            0.005149,            0.005149,            0.005149
                  51,            0.037958,            0.039059,           0.0059162,             0.88861,             0.85687,             0.92856,             0.64902,            0.033428,            0.023063,           0.0031899,             0.00505,             0.00505,             0.00505
                  52,            0.035403,            0.035838,            0.005396,             0.88857,             0.85282,              0.9226,             0.64922,            0.032615,            0.022825,           0.0031129,            0.004951,            0.004951,            0.004951
                  53,            0.033463,            0.037232,           0.0057638,             0.90212,              0.8637,              0.9289,             0.65092,            0.032128,            0.022719,           0.0030186,            0.004852,            0.004852,            0.004852
                  54,            0.035925,            0.032308,           0.0055409,             0.89828,              0.8518,             0.91937,             0.66027,            0.032027,            0.022407,           0.0029325,            0.004753,            0.004753,            0.004753
                  55,            0.035357,            0.039301,           0.0049399,             0.89462,             0.86537,             0.93352,             0.66249,            0.033042,            0.022753,           0.0028673,            0.004654,            0.004654,            0.004654
                  56,            0.036083,            0.041295,           0.0050508,             0.88517,             0.87388,              0.9321,             0.67334,            0.031892,            0.022307,           0.0027794,            0.004555,            0.004555,            0.004555
                  57,            0.037203,             0.04022,           0.0057372,             0.90282,             0.86318,             0.93434,             0.66331,            0.032924,            0.022447,           0.0027312,            0.004456,            0.004456,            0.004456
