               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.048274,           0.0096251,           0.0014037,             0.70821,             0.28599,             0.25746,             0.10061,            0.071034,           0.0011123,          0.00031562,            0.006634,            0.006634,            0.006634
                  36,            0.047766,           0.0095599,          0.00077533,             0.87122,             0.23529,             0.24927,             0.11865,            0.069296,           0.0010898,          0.00031101,            0.006535,            0.006535,            0.006535
                  37,            0.048547,           0.0096816,           0.0011566,             0.57334,             0.26471,             0.26545,            0.093215,            0.072915,            0.001178,          0.00032353,            0.006436,            0.006436,            0.006436
                  38,            0.047675,           0.0098751,           0.0019485,             0.61018,             0.20588,              0.2312,             0.11225,            0.068837,           0.0011927,          0.00035841,            0.006337,            0.006337,            0.006337
                  39,            0.046788,           0.0093869,          0.00094029,             0.51634,             0.17647,             0.17385,            0.059014,            0.075693,           0.0013361,          0.00033703,            0.006238,            0.006238,            0.006238
                  40,            0.047543,           0.0098985,          0.00072296,             0.47315,             0.20588,             0.16924,            0.068739,            0.070905,           0.0011481,          0.00035543,            0.006139,            0.006139,            0.006139
                  41,             0.04469,           0.0092472,          0.00068958,             0.73307,             0.17647,             0.18787,             0.11059,            0.075286,          0.00099754,          0.00037155,             0.00604,             0.00604,             0.00604
                  42,            0.049115,             0.01021,           0.0013069,             0.51151,             0.20588,             0.18379,            0.078013,             0.07545,           0.0010167,          0.00034324,            0.005941,            0.005941,            0.005941
                  43,            0.047777,            0.008821,            0.001328,             0.67434,             0.20588,             0.20775,             0.11497,             0.07089,           0.0010423,          0.00035287,            0.005842,            0.005842,            0.005842
                  44,            0.046743,           0.0091392,          0.00095532,             0.81665,             0.26471,             0.28371,             0.12372,            0.067021,           0.0012031,           0.0003185,            0.005743,            0.005743,            0.005743
                  45,            0.046237,            0.010261,           0.0011528,             0.88209,             0.23529,             0.25732,              0.1038,            0.064054,           0.0011852,          0.00030087,            0.005644,            0.005644,            0.005644
                  46,             0.04732,           0.0095234,          0.00085258,             0.72728,             0.26471,             0.27425,             0.14106,            0.065737,           0.0010865,          0.00029743,            0.005545,            0.005545,            0.005545
                  47,            0.044569,             0.01035,           0.0010495,             0.54015,             0.34574,             0.29898,             0.13609,            0.063982,           0.0010986,          0.00028685,            0.005446,            0.005446,            0.005446
                  48,            0.043336,           0.0090103,           0.0011344,             0.55799,             0.23529,              0.2236,             0.10183,            0.067119,          0.00097868,          0.00028685,            0.005347,            0.005347,            0.005347
                  49,             0.04425,           0.0088954,           0.0011512,             0.25737,             0.26471,             0.20135,            0.081825,            0.065383,           0.0012021,          0.00029337,            0.005248,            0.005248,            0.005248
                  50,            0.046848,           0.0093775,          0.00082377,              0.4448,             0.26471,             0.22919,              0.1116,            0.061045,           0.0010968,          0.00029578,            0.005149,            0.005149,            0.005149
                  51,            0.045674,           0.0094759,            0.001023,              0.4088,             0.26471,             0.22282,             0.12034,             0.06324,            0.001216,          0.00030484,             0.00505,             0.00505,             0.00505
                  52,            0.042876,           0.0087388,           0.0010116,             0.54593,             0.23529,             0.23874,             0.11841,            0.060385,           0.0012131,          0.00028731,            0.004951,            0.004951,            0.004951
                  53,            0.041236,           0.0093248,           0.0011034,             0.90784,             0.20588,             0.27597,             0.10732,            0.063224,           0.0011007,          0.00027635,            0.004852,            0.004852,            0.004852
                  54,            0.042536,            0.009207,          0.00098011,              0.4414,             0.35294,             0.29269,            0.089923,            0.066508,           0.0010953,          0.00027955,            0.004753,            0.004753,            0.004753
                  55,            0.041889,            0.009267,            0.000792,              0.6927,             0.32353,             0.35007,             0.14385,            0.065454,           0.0011176,          0.00027158,            0.004654,            0.004654,            0.004654
                  56,            0.040887,           0.0083288,          0.00073332,             0.71939,             0.32353,             0.32553,              0.1277,            0.064644,           0.0011096,          0.00025998,            0.004555,            0.004555,            0.004555
                  57,            0.043572,           0.0080636,          0.00079628,             0.51963,             0.25492,             0.25047,             0.12321,            0.062156,           0.0010019,          0.00026615,            0.004456,            0.004456,            0.004456
                  58,            0.041818,           0.0078569,            0.000772,             0.95818,             0.23529,             0.25969,             0.11113,            0.063221,           0.0011945,          0.00027595,            0.004357,            0.004357,            0.004357
                  59,               0.041,           0.0089866,          0.00073949,             0.37053,             0.29412,             0.26732,             0.11221,            0.059579,           0.0012801,          0.00027626,            0.004258,            0.004258,            0.004258
                  60,            0.042529,           0.0085094,           0.0013584,             0.57749,             0.29412,             0.28226,             0.12432,            0.061568,           0.0011315,          0.00025133,            0.004159,            0.004159,            0.004159
                  61,            0.042321,           0.0088075,          0.00067653,             0.42191,             0.32353,             0.27002,             0.10112,            0.062193,           0.0011176,          0.00023992,             0.00406,             0.00406,             0.00406
                  62,            0.040184,           0.0086968,          0.00045187,             0.54383,             0.41176,             0.35433,             0.13351,            0.061156,           0.0011994,          0.00023359,            0.003961,            0.003961,            0.003961
                  63,            0.042172,           0.0091727,           0.0006889,                   1,             0.23113,             0.25101,            0.099798,            0.064565,          0.00099441,          0.00022049,            0.003862,            0.003862,            0.003862
                  64,            0.041474,           0.0090508,          0.00091509,             0.48969,             0.32353,             0.25583,             0.11564,            0.063141,          0.00097039,          0.00022516,            0.003763,            0.003763,            0.003763
                  65,            0.041546,           0.0084667,           0.0011872,             0.68991,             0.26471,             0.25694,            0.094162,            0.065886,          0.00093308,          0.00022709,            0.003664,            0.003664,            0.003664
                  66,            0.042836,           0.0080211,           0.0007281,             0.79262,             0.29412,             0.32539,             0.16366,            0.065667,           0.0010946,          0.00024042,            0.003565,            0.003565,            0.003565
                  67,               0.041,           0.0090942,          0.00095035,             0.73104,             0.29412,             0.33359,             0.12895,            0.057898,           0.0011656,          0.00023221,            0.003466,            0.003466,            0.003466
                  68,            0.040481,           0.0086281,           0.0016339,             0.50048,             0.35294,             0.31968,             0.15941,            0.055213,           0.0012103,          0.00023509,            0.003367,            0.003367,            0.003367
                  69,            0.041025,            0.007642,          0.00084977,             0.72144,             0.38095,             0.37092,             0.13108,            0.058451,            0.001218,          0.00023243,            0.003268,            0.003268,            0.003268
                  70,            0.038086,           0.0079119,          0.00036887,             0.55313,             0.38235,             0.34662,             0.15714,            0.058433,           0.0011865,          0.00021764,            0.003169,            0.003169,            0.003169
                  71,            0.039589,           0.0080977,           0.0012573,             0.65914,             0.41176,             0.41474,             0.19095,            0.059193,            0.001122,          0.00021095,             0.00307,             0.00307,             0.00307
                  72,            0.039457,           0.0078376,           0.0010391,             0.71997,             0.41176,             0.38477,             0.13415,            0.059761,           0.0011518,          0.00021243,            0.002971,            0.002971,            0.002971
                  73,            0.037197,           0.0083929,           0.0006775,              0.7301,             0.44118,             0.40595,             0.14175,            0.057988,           0.0010785,          0.00021743,            0.002872,            0.002872,            0.002872
                  74,            0.037288,           0.0078201,           0.0014245,             0.50401,             0.38235,             0.36359,             0.13564,            0.060327,           0.0010651,           0.0002161,            0.002773,            0.002773,            0.002773
                  75,            0.040396,           0.0091581,           0.0010265,             0.71549,             0.37023,             0.40198,             0.13665,            0.059977,           0.0010642,          0.00021132,            0.002674,            0.002674,            0.002674
                  76,            0.037288,           0.0082952,          0.00081437,             0.49607,             0.29412,             0.25997,             0.14707,            0.061217,           0.0010579,           0.0002121,            0.002575,            0.002575,            0.002575
                  77,            0.038065,           0.0086308,          0.00064514,             0.57827,             0.29412,             0.26372,             0.13611,            0.063344,           0.0010395,          0.00020907,            0.002476,            0.002476,            0.002476
                  78,             0.03838,           0.0089609,           0.0015266,              0.5101,             0.35294,             0.33455,              0.1593,             0.05989,           0.0010971,          0.00021101,            0.002377,            0.002377,            0.002377
                  79,            0.038665,           0.0082057,          0.00099059,             0.58253,             0.32353,              0.3401,             0.14807,            0.061603,           0.0010521,          0.00021012,            0.002278,            0.002278,            0.002278
                  80,            0.037957,           0.0078762,          0.00034021,             0.65624,             0.41176,             0.37752,             0.15838,            0.058753,           0.0010566,             0.00021,            0.002179,            0.002179,            0.002179
                  81,              0.0365,           0.0087559,          0.00055812,             0.51666,             0.29412,             0.29966,              0.1445,            0.058992,           0.0011182,          0.00020308,             0.00208,             0.00208,             0.00208
                  82,            0.037013,           0.0082263,          0.00031014,             0.63035,             0.40156,             0.38412,             0.14915,             0.05722,           0.0011686,          0.00019083,            0.001981,            0.001981,            0.001981
                  83,            0.037335,           0.0075894,           0.0003045,             0.60578,             0.38235,             0.38859,             0.18377,            0.053977,           0.0011292,          0.00018016,            0.001882,            0.001882,            0.001882
                  84,            0.035871,           0.0075512,          0.00075113,              0.7388,             0.32353,             0.34412,             0.17033,            0.053335,           0.0011458,          0.00017663,            0.001783,            0.001783,            0.001783
                  85,            0.038668,            0.007841,          0.00088436,             0.97342,             0.38235,             0.41939,             0.19837,            0.052809,           0.0011466,          0.00017316,            0.001684,            0.001684,            0.001684
