               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14083,            0.024359,            0.023465,                   0,                   0,                   0,                   0,             0.16888,             0.01028,            0.020517,              0.0829,              0.0019,              0.0019
                   1,             0.11447,            0.022028,           0.0080014,          6.7953e-05,            0.018182,          7.1169e-05,          7.1169e-06,             0.15749,           0.0060861,           0.0074532,            0.064861,           0.0038614,           0.0038614
                   2,             0.10267,            0.017628,           0.0034745,           0.0026484,            0.018182,          0.00036203,          7.0282e-05,             0.14514,           0.0056949,           0.0044191,            0.046783,           0.0057832,           0.0057832
                   3,            0.096785,            0.017507,           0.0030745,           0.0059669,            0.036364,          0.00035217,          6.0527e-05,             0.14051,           0.0077572,           0.0030874,            0.028665,           0.0076654,           0.0076654
                   4,            0.092992,            0.016775,           0.0028168,           0.0012505,             0.10909,          0.00046705,          8.2417e-05,             0.13436,           0.0068617,           0.0021666,            0.010508,            0.009508,            0.009508
                   5,             0.08898,            0.016362,           0.0030371,           0.0027551,            0.018182,           0.0015537,          0.00023625,             0.13337,           0.0054655,           0.0017827,            0.009505,            0.009505,            0.009505
                   6,            0.085579,            0.014599,           0.0026277,           0.0026869,            0.036364,          0.00055064,          8.6792e-05,             0.12033,           0.0067496,            0.001674,            0.009505,            0.009505,            0.009505
                   7,            0.078145,            0.013729,           0.0022716,             0.16108,            0.090909,             0.02801,            0.010636,             0.11844,           0.0056329,              0.0014,            0.009406,            0.009406,            0.009406
                   8,            0.074515,            0.014343,           0.0023915,            0.039468,            0.072727,           0.0044727,           0.0011358,             0.12532,           0.0062861,           0.0013212,            0.009307,            0.009307,            0.009307
                   9,            0.072354,            0.012444,            0.002099,             0.12697,            0.072727,            0.018272,           0.0037647,             0.10549,           0.0062156,           0.0011661,            0.009208,            0.009208,            0.009208
                  10,            0.070151,            0.011554,           0.0019766,             0.21164,             0.12727,            0.063746,            0.019167,             0.10318,           0.0052924,            0.001088,            0.009109,            0.009109,            0.009109
                  11,            0.067085,            0.011566,            0.001733,              0.2806,            0.072727,             0.03605,           0.0080582,             0.10678,           0.0042844,           0.0011855,             0.00901,             0.00901,             0.00901
                  12,             0.06859,            0.010861,           0.0018614,             0.34944,             0.10909,              0.1008,              0.0309,             0.10469,           0.0035362,           0.0010483,            0.008911,            0.008911,            0.008911
                  13,            0.065843,            0.010909,           0.0016279,             0.37691,             0.14545,             0.10388,            0.030751,            0.099036,           0.0033941,           0.0010246,            0.008812,            0.008812,            0.008812
                  14,            0.062068,            0.010033,           0.0015479,             0.85293,             0.14545,             0.16321,            0.044777,            0.095843,           0.0031145,          0.00085773,            0.008713,            0.008713,            0.008713
                  15,            0.062866,           0.0098612,             0.00145,             0.30487,             0.18182,             0.14217,            0.053451,             0.08726,           0.0030305,          0.00081801,            0.008614,            0.008614,            0.008614
                  16,            0.059856,           0.0095183,           0.0013728,             0.24672,             0.18182,             0.12672,            0.047358,            0.091877,           0.0026748,          0.00091162,            0.008515,            0.008515,            0.008515
                  17,            0.059166,           0.0098275,           0.0011265,             0.29935,             0.12727,            0.092483,            0.024637,            0.091241,           0.0029148,          0.00090346,            0.008416,            0.008416,            0.008416
                  18,            0.059767,           0.0098556,           0.0014039,             0.65837,             0.12727,             0.12759,            0.041878,            0.093292,           0.0030425,          0.00088701,            0.008317,            0.008317,            0.008317
                  19,            0.057846,           0.0091056,           0.0018121,             0.73318,             0.12727,             0.14521,            0.066908,            0.083795,           0.0025731,           0.0008492,            0.008218,            0.008218,            0.008218
                  20,             0.05641,           0.0099673,           0.0014256,             0.41177,             0.27273,             0.23932,            0.093851,            0.075075,           0.0029157,          0.00084682,            0.008119,            0.008119,            0.008119
                  21,            0.057577,           0.0092272,             0.00118,             0.60353,             0.19397,             0.21172,            0.089063,            0.084467,           0.0025157,          0.00078859,             0.00802,             0.00802,             0.00802
                  22,            0.056508,           0.0091738,           0.0015007,             0.37006,             0.18182,             0.15773,            0.048628,            0.079432,           0.0024766,           0.0008007,            0.007921,            0.007921,            0.007921
                  23,             0.05573,           0.0099473,           0.0014569,             0.40191,             0.26888,             0.25858,            0.091595,            0.075605,           0.0024477,          0.00081367,            0.007822,            0.007822,            0.007822
                  24,            0.053752,           0.0081501,            0.001183,              0.4397,             0.21818,             0.21584,             0.10486,            0.081187,           0.0021038,          0.00081623,            0.007723,            0.007723,            0.007723
                  25,            0.055397,            0.009132,           0.0012193,             0.46811,             0.22417,              0.2235,             0.10519,            0.083059,            0.002104,          0.00077276,            0.007624,            0.007624,            0.007624
                  26,            0.053705,           0.0093943,          0.00091742,             0.49256,             0.24724,             0.23159,             0.10874,            0.076991,           0.0022372,          0.00077605,            0.007525,            0.007525,            0.007525
                  27,            0.053804,           0.0086944,           0.0013765,             0.47319,             0.25455,             0.26687,             0.11691,            0.067081,            0.002275,           0.0008122,            0.007426,            0.007426,            0.007426
                  28,             0.05194,           0.0092412,           0.0018894,             0.32904,             0.29091,              0.2165,            0.085106,             0.07888,           0.0020043,          0.00077887,            0.007327,            0.007327,            0.007327
                  29,            0.051837,           0.0095655,           0.0016477,                0.47,             0.36364,              0.2878,             0.11459,             0.07206,           0.0021368,          0.00083346,            0.007228,            0.007228,            0.007228
                  30,            0.051752,           0.0086197,           0.0010756,             0.67458,             0.29091,             0.29393,             0.12055,            0.076769,           0.0020063,          0.00079985,            0.007129,            0.007129,            0.007129
