               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13655,            0.025218,            0.021787,                   0,                   0,                   0,                   0,             0.14048,           0.0091947,            0.015567,            0.070857,           0.0032381,           0.0032381
                   1,             0.11303,             0.02079,           0.0052878,          0.00019281,            0.029412,          0.00021012,          4.7263e-05,             0.12933,           0.0055396,           0.0056798,            0.040825,           0.0065389,           0.0065389
                   2,             0.11026,            0.015656,           0.0032531,                   0,                   0,                   0,                   0,             0.12355,           0.0078754,           0.0037499,            0.010759,           0.0098067,           0.0098067
                   3,            0.099666,            0.017896,           0.0030844,                   0,                   0,                   0,                   0,             0.11892,           0.0061455,           0.0026752,           0.0098515,           0.0098515,           0.0098515
                   4,            0.094017,            0.017751,           0.0025956,          0.00067624,             0.14706,          0.00075444,          0.00016111,             0.10498,           0.0061158,           0.0017932,           0.0098515,           0.0098515,           0.0098515
                   5,             0.08492,            0.017269,           0.0026015,          0.00074364,             0.11765,          0.00089512,          0.00019771,            0.098761,           0.0045686,           0.0016023,            0.009802,            0.009802,            0.009802
                   6,            0.078929,            0.016636,           0.0021294,            0.019522,            0.058824,           0.0057298,           0.0015148,            0.098653,           0.0053382,            0.001382,           0.0097525,           0.0097525,           0.0097525
                   7,            0.078629,            0.013296,            0.002492,           0.0053179,            0.029412,          0.00064012,          9.7616e-05,             0.10617,           0.0050271,          0.00091349,            0.009703,            0.009703,            0.009703
                   8,              0.0741,             0.01381,           0.0019056,             0.22237,            0.088235,            0.050221,            0.011096,            0.092407,           0.0042539,          0.00075258,           0.0096535,           0.0096535,           0.0096535
                   9,             0.07227,            0.014238,           0.0016267,            0.026466,             0.11765,           0.0055977,            0.001782,             0.10246,           0.0036381,           0.0008084,            0.009604,            0.009604,            0.009604
                  10,            0.070328,             0.01317,           0.0024181,            0.061792,            0.058824,            0.015592,           0.0072518,            0.096199,           0.0039268,          0.00077966,           0.0095545,           0.0095545,           0.0095545
                  11,            0.066298,            0.013126,            0.001886,             0.24122,             0.11765,            0.039359,            0.012087,             0.09341,           0.0024923,          0.00074205,            0.009505,            0.009505,            0.009505
                  12,            0.065787,            0.012157,           0.0018095,             0.12488,             0.11765,            0.033986,            0.010643,            0.096574,           0.0023007,          0.00075369,           0.0094555,           0.0094555,           0.0094555
                  13,            0.064934,            0.012512,           0.0020514,             0.15034,            0.088235,            0.025828,           0.0037002,            0.093619,           0.0021774,          0.00070912,            0.009406,            0.009406,            0.009406
                  14,            0.063312,            0.011502,           0.0016008,             0.17036,             0.11765,            0.055494,            0.016737,            0.091814,           0.0019898,          0.00068734,           0.0093565,           0.0093565,           0.0093565
                  15,            0.065298,            0.011993,           0.0020844,             0.27953,             0.17647,             0.13619,            0.048318,            0.086175,             0.00184,          0.00073954,            0.009307,            0.009307,            0.009307
                  16,            0.062075,            0.011377,           0.0020917,             0.44067,             0.14706,             0.15514,            0.038377,            0.087395,           0.0017651,          0.00082474,           0.0092575,           0.0092575,           0.0092575
                  17,            0.059618,            0.010711,           0.0016558,             0.95978,             0.14706,             0.16516,            0.058505,            0.091924,           0.0015627,          0.00078173,            0.009208,            0.009208,            0.009208
                  18,            0.058576,            0.010455,           0.0015415,             0.38309,             0.14706,             0.10645,            0.038133,            0.091183,            0.001647,          0.00064618,           0.0091585,           0.0091585,           0.0091585
                  19,            0.059747,            0.010897,           0.0013448,             0.83324,             0.11765,             0.12944,            0.039264,            0.083223,           0.0018265,          0.00059934,            0.009109,            0.009109,            0.009109
                  20,            0.057765,            0.010626,           0.0012446,             0.46324,             0.14706,             0.12804,            0.053547,            0.084663,           0.0017129,          0.00063457,           0.0090595,           0.0090595,           0.0090595
                  21,            0.056497,            0.010669,           0.0017257,              0.5369,             0.14706,             0.12921,            0.062229,            0.084306,           0.0018891,          0.00059411,             0.00901,             0.00901,             0.00901
                  22,             0.05887,           0.0098221,           0.0015021,             0.94658,             0.14706,             0.15095,            0.056573,            0.086439,           0.0017052,          0.00061669,           0.0089605,           0.0089605,           0.0089605
                  23,            0.057808,            0.010647,           0.0013149,             0.43252,             0.20198,             0.15332,             0.09135,            0.085849,           0.0016523,          0.00069187,            0.008911,            0.008911,            0.008911
                  24,            0.056104,            0.010282,           0.0010619,             0.38655,             0.17647,             0.16722,             0.07269,            0.086591,           0.0015329,          0.00059004,           0.0088615,           0.0088615,           0.0088615
                  25,            0.055511,            0.009805,           0.0011993,             0.33648,             0.17647,             0.17246,            0.089463,            0.085343,           0.0015214,           0.0005254,            0.008812,            0.008812,            0.008812
                  26,            0.053155,            0.010484,           0.0014521,             0.47635,             0.17647,             0.18257,            0.088359,            0.083756,           0.0014706,          0.00048524,           0.0087625,           0.0087625,           0.0087625
                  27,            0.054366,            0.010258,           0.0019097,             0.36701,             0.20588,             0.16982,            0.090867,             0.08426,           0.0015055,          0.00051311,            0.008713,            0.008713,            0.008713
                  28,            0.054056,           0.0097087,           0.0013556,             0.38492,             0.20264,             0.17169,            0.064005,            0.086239,            0.001592,          0.00052128,           0.0086635,           0.0086635,           0.0086635
                  29,            0.052546,            0.010309,           0.0011286,             0.68082,             0.17647,             0.18793,            0.074741,            0.088488,            0.001555,          0.00048858,            0.008614,            0.008614,            0.008614
                  30,            0.049894,           0.0099941,           0.0015952,              0.4745,             0.17647,             0.15828,            0.079305,             0.08126,           0.0015586,          0.00048474,           0.0085645,           0.0085645,           0.0085645
                  31,             0.05231,           0.0096451,           0.0011959,             0.95987,             0.17647,             0.21993,            0.087876,            0.076981,           0.0015981,          0.00048962,            0.008515,            0.008515,            0.008515
                  32,            0.049774,            0.010134,           0.0010544,             0.58495,             0.17647,             0.19909,            0.081202,            0.085533,           0.0014599,          0.00047353,           0.0084655,           0.0084655,           0.0084655
                  33,            0.049602,            0.010625,          0.00082133,             0.74209,             0.23529,             0.24914,             0.10356,            0.084169,           0.0015964,          0.00042365,            0.008416,            0.008416,            0.008416
                  34,            0.052565,            0.010241,             0.00129,             0.49796,             0.20588,             0.19423,            0.067233,            0.078669,           0.0015832,          0.00044702,           0.0083665,           0.0083665,           0.0083665
                  35,            0.050711,           0.0099232,           0.0013011,             0.83174,             0.17647,             0.22925,            0.090504,            0.074568,           0.0015496,          0.00049388,            0.008317,            0.008317,            0.008317
                  36,            0.048465,            0.010034,            0.001097,              0.4527,             0.23529,             0.21661,            0.094989,            0.063851,           0.0018898,          0.00054766,           0.0082675,           0.0082675,           0.0082675
                  37,            0.049084,            0.010109,           0.0010908,             0.51081,             0.23529,             0.23109,             0.10545,             0.06644,           0.0016756,            0.000577,            0.008218,            0.008218,            0.008218
                  38,            0.049262,           0.0098268,           0.0010721,             0.52886,             0.26471,             0.24304,              0.1469,             0.06232,            0.001549,          0.00055152,           0.0081685,           0.0081685,           0.0081685
                  39,            0.049394,           0.0097898,           0.0011777,              0.7576,             0.23529,             0.29606,             0.10275,            0.062134,           0.0016333,          0.00052846,            0.008119,            0.008119,            0.008119
                  40,            0.049643,           0.0098993,           0.0016149,             0.46793,             0.23529,             0.22151,             0.10083,            0.067811,           0.0014937,           0.0005044,           0.0080695,           0.0080695,           0.0080695
                  41,            0.049625,           0.0097042,           0.0011511,             0.62972,             0.26471,             0.23952,              0.0992,            0.069544,           0.0018145,           0.0004815,             0.00802,             0.00802,             0.00802
                  42,            0.047516,           0.0096887,           0.0011307,             0.46976,              0.2869,             0.22189,             0.10583,            0.070382,           0.0015768,          0.00047523,           0.0079705,           0.0079705,           0.0079705
                  43,            0.046263,           0.0094168,           0.0011334,              0.3725,             0.31449,             0.23604,             0.10886,            0.072666,           0.0015986,          0.00049736,            0.007921,            0.007921,            0.007921
                  44,            0.049215,            0.010222,           0.0010815,             0.48467,             0.26471,             0.28451,             0.12788,             0.06246,           0.0015851,          0.00049648,           0.0078715,           0.0078715,           0.0078715
                  45,            0.047398,           0.0089525,           0.0011163,             0.64731,             0.29412,             0.30315,             0.12625,            0.068747,           0.0015639,          0.00050159,            0.007822,            0.007822,            0.007822
                  46,            0.046331,           0.0094662,          0.00094649,             0.44557,             0.20588,             0.18851,             0.12044,            0.075817,           0.0014136,          0.00050592,           0.0077725,           0.0077725,           0.0077725
                  47,            0.048574,           0.0099629,           0.0012643,             0.91324,             0.20588,              0.2235,             0.10038,             0.07064,           0.0016295,          0.00048299,            0.007723,            0.007723,            0.007723
                  48,            0.047307,           0.0092465,           0.0010765,             0.41782,             0.29412,              0.2514,            0.093684,            0.063641,            0.001635,          0.00043052,           0.0076735,           0.0076735,           0.0076735
                  49,            0.045013,           0.0093975,           0.0006888,             0.45075,             0.41176,             0.34893,             0.14668,            0.059579,           0.0017592,          0.00043856,            0.007624,            0.007624,            0.007624
                  50,            0.045948,            0.008888,           0.0013772,             0.51902,             0.29412,             0.27942,             0.12561,            0.065788,           0.0016809,          0.00045829,           0.0075745,           0.0075745,           0.0075745
                  51,             0.04686,           0.0090666,           0.0010678,             0.73373,             0.17647,             0.21442,             0.11638,            0.058847,           0.0017666,          0.00045857,            0.007525,            0.007525,            0.007525
