               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14049,            0.027943,            0.026538,                   0,                   0,                   0,                   0,             0.13298,            0.015823,            0.019189,              0.0892,              0.0012,              0.0012
                   1,             0.12338,             0.02584,            0.013936,            0.029819,             0.57576,             0.08803,            0.010236,             0.11155,            0.014206,           0.0073212,            0.077475,           0.0024753,           0.0024753
                   2,             0.10696,            0.025872,           0.0056972,             0.12302,             0.51515,            0.078499,            0.012985,              0.1062,            0.011585,           0.0024992,            0.065725,           0.0037248,           0.0037248
                   3,              0.1007,            0.019212,           0.0028808,             0.14555,             0.51515,             0.10514,            0.031599,             0.10475,            0.011198,           0.0013933,            0.053949,           0.0049485,           0.0049485
                   4,            0.099574,            0.019942,           0.0023335,             0.14854,             0.30303,             0.10544,            0.045073,             0.12472,            0.010563,           0.0012014,            0.042147,           0.0061466,           0.0061466
                   5,            0.099153,             0.01829,           0.0024348,             0.23122,             0.51515,             0.15783,            0.038612,            0.094246,            0.011288,           0.0014288,            0.030319,           0.0073188,           0.0073188
                   6,             0.09463,            0.018764,           0.0030528,             0.12368,             0.15152,            0.063505,            0.024687,             0.10566,           0.0089655,           0.0015612,            0.018465,           0.0084654,           0.0084654
                   7,            0.090838,             0.01845,           0.0027328,             0.30531,             0.51515,             0.27461,             0.09867,            0.098406,            0.007843,           0.0016809,            0.009307,            0.009307,            0.009307
                   8,            0.087522,            0.020212,           0.0028064,              0.2918,             0.51515,              0.2028,            0.054499,            0.088446,            0.012838,           0.0013325,            0.009307,            0.009307,            0.009307
                   9,            0.083344,            0.016921,           0.0024078,             0.21356,             0.39394,              0.2156,             0.10778,             0.08183,           0.0099487,           0.0012728,            0.009208,            0.009208,            0.009208
                  10,            0.079636,            0.015722,           0.0021917,             0.39444,             0.36364,             0.28778,            0.092385,            0.081561,           0.0095978,           0.0011292,            0.009109,            0.009109,            0.009109
                  11,            0.072449,            0.016309,           0.0025877,             0.45519,             0.58244,             0.33046,            0.092501,            0.086984,            0.012655,          0.00089588,             0.00901,             0.00901,             0.00901
                  12,             0.07593,            0.015775,           0.0018916,             0.59785,             0.54545,             0.53845,             0.18931,            0.071626,           0.0084476,           0.0011124,            0.008911,            0.008911,            0.008911
                  13,            0.072267,            0.016517,           0.0018452,             0.47693,             0.51515,             0.47983,              0.1886,            0.066918,            0.011602,          0.00085163,            0.008812,            0.008812,            0.008812
                  14,            0.069432,            0.015459,           0.0019944,             0.35012,             0.60606,             0.31853,            0.084325,            0.073755,            0.011852,          0.00088749,            0.008713,            0.008713,            0.008713
                  15,            0.068458,            0.013822,           0.0018862,             0.61973,             0.60606,             0.59631,              0.2329,             0.07255,            0.012266,          0.00084057,            0.008614,            0.008614,            0.008614
                  16,            0.066163,            0.013987,           0.0023012,             0.74989,             0.63636,             0.62962,             0.23845,            0.063102,             0.01128,          0.00090656,            0.008515,            0.008515,            0.008515
