               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.21693,            0.022764,            0.029743,                   0,                   0,                   0,                   0,             0.22093,            0.020382,            0.026172,              0.0973,              0.0003,              0.0003
                   1,             0.21788,            0.021956,            0.029003,                   0,                   0,                   0,                   0,             0.21996,            0.017815,            0.026056,            0.093693,          0.00069307,          0.00069307
                   2,             0.21717,            0.019952,            0.027615,                   0,                   0,                   0,                   0,             0.22015,            0.016075,            0.024243,            0.090078,           0.0010782,           0.0010782
                   3,             0.21722,              0.0177,            0.026245,                   0,                   0,                   0,                   0,             0.21936,            0.013077,            0.022888,            0.086455,           0.0014555,           0.0014555
                   4,             0.21387,            0.015606,            0.023495,                   0,                   0,                   0,                   0,             0.21776,            0.011198,            0.021973,            0.082825,           0.0018248,           0.0018248
                   5,             0.20977,            0.014239,            0.022006,                   0,                   0,                   0,                   0,             0.21593,           0.0096169,            0.021033,            0.079186,           0.0021861,           0.0021861
                   6,             0.20721,            0.012828,            0.019963,                   0,                   0,                   0,                   0,             0.21202,           0.0089235,            0.019183,             0.07554,           0.0025396,           0.0025396
                   7,             0.19648,            0.011514,            0.017443,                   0,                   0,                   0,                   0,             0.20344,           0.0081983,            0.014941,            0.071885,           0.0028852,           0.0028852
                   8,             0.19444,             0.01039,            0.015043,                   0,                   0,                   0,                   0,             0.19013,           0.0079932,           0.0091736,            0.068223,           0.0032228,           0.0032228
                   9,              0.1873,            0.009232,             0.01203,                   0,                   0,                   0,                   0,             0.19192,           0.0070004,            0.010271,            0.064553,           0.0035525,           0.0035525
                  10,             0.18296,           0.0082199,           0.0085791,                   0,                   0,                   0,                   0,             0.18885,           0.0061183,           0.0090393,            0.060874,           0.0038743,           0.0038743
                  11,             0.17836,           0.0072846,           0.0060775,                   0,                   0,                   0,                   0,             0.18149,           0.0054426,           0.0055847,            0.057188,           0.0041882,           0.0041882
                  12,             0.17657,           0.0065037,           0.0045901,                   0,                   0,                   0,                   0,             0.17616,           0.0039396,            0.001919,            0.053494,           0.0044941,           0.0044941
                  13,             0.17266,           0.0061123,           0.0036173,                   0,                   0,                   0,                   0,             0.17511,           0.0039206,           0.0016364,            0.049792,           0.0047922,           0.0047922
                  14,             0.17184,           0.0053565,           0.0032804,                   0,                   0,                   0,                   0,             0.16927,           0.0038147,          0.00065403,            0.046082,           0.0050823,           0.0050823
                  15,             0.16878,           0.0051488,           0.0016547,                   0,                   0,                   0,                   0,              0.1748,           0.0038037,          0.00033476,            0.042364,           0.0053644,           0.0053644
                  16,             0.16729,           0.0049058,           0.0014431,                   0,                   0,                   0,                   0,             0.16822,           0.0040283,          0.00026269,            0.038639,           0.0056387,           0.0056387
                  17,             0.16718,           0.0043403,           0.0012896,                   0,                   0,                   0,                   0,             0.16852,           0.0037951,          0.00029199,            0.034905,           0.0059051,           0.0059051
                  18,             0.16433,            0.004037,            0.000735,                   0,                   0,                   0,                   0,             0.16567,           0.0030663,          0.00034491,            0.031163,           0.0061635,           0.0061635
                  19,               0.121,             0.00363,          0.00042077,                   0,                   0,                   0,                   0,             0.16775,           0.0028853,          0.00018152,            0.027414,            0.006414,            0.006414
                  20,             0.16209,           0.0038886,          0.00073141,                   0,                   0,                   0,                   0,             0.17538,           0.0026162,          7.9507e-05,            0.023657,           0.0066566,           0.0066566
                  21,             0.16105,           0.0039063,          0.00046551,                   0,                   0,                   0,                   0,             0.16649,            0.003069,          0.00013845,            0.019891,           0.0068913,           0.0068913
                  22,              0.1624,           0.0036369,          0.00047715,                   0,                   0,                   0,                   0,              0.1636,           0.0031886,          7.9989e-05,            0.016118,            0.007118,            0.007118
                  23,             0.15442,           0.0035355,          0.00039649,                   0,                   0,                   0,                   0,             0.16436,           0.0027869,          0.00010582,            0.012337,           0.0073369,           0.0073369
                  24,             0.15646,           0.0028993,          0.00052869,                   0,                   0,                   0,                   0,             0.16073,           0.0025818,          5.7697e-05,           0.0085478,           0.0075478,           0.0075478
                  25,             0.15027,           0.0028003,          0.00041256,                   0,                   0,                   0,                   0,             0.16268,           0.0024261,          7.9727e-05,            0.007525,            0.007525,            0.007525
                  26,             0.15681,           0.0024594,          0.00048339,                   0,                   0,                   0,                   0,             0.16127,           0.0023019,          8.9073e-05,            0.007525,            0.007525,            0.007525
                  27,             0.15075,           0.0028747,          0.00053624,          0.00057837,             0.11111,          0.00033417,          3.3417e-05,             0.16042,           0.0024806,          0.00014064,            0.007426,            0.007426,            0.007426
                  28,               0.151,           0.0033102,           0.0005645,                   0,                   0,                   0,                   0,             0.16024,           0.0027077,          0.00037718,            0.007327,            0.007327,            0.007327
                  29,             0.11068,           0.0025719,          0.00044882,                   0,                   0,                   0,                   0,             0.15031,           0.0032163,          0.00023255,            0.007228,            0.007228,            0.007228
                  30,             0.11317,           0.0023531,          0.00073771,                   0,                   0,                   0,                   0,             0.16026,           0.0028191,          0.00020905,            0.007129,            0.007129,            0.007129
                  31,               0.149,           0.0026395,          0.00064851,                   0,                   0,                   0,                   0,             0.15863,           0.0028371,          0.00018501,             0.00703,             0.00703,             0.00703
                  32,             0.14113,            0.003593,          0.00072693,                   0,                   0,                   0,                   0,             0.15101,           0.0034782,          0.00019708,            0.006931,            0.006931,            0.006931
                  33,             0.14076,           0.0027068,          0.00074252,           0.0011779,             0.11111,          0.00067644,          0.00013529,             0.15673,           0.0032415,          0.00028491,            0.006832,            0.006832,            0.006832
                  34,             0.14464,           0.0030554,          0.00070377,           0.0015198,             0.11111,          0.00088132,          0.00017626,             0.16074,           0.0032423,          0.00035148,            0.006733,            0.006733,            0.006733
                  35,             0.14668,           0.0026704,          0.00069041,                   0,                   0,                   0,                   0,             0.16159,           0.0028358,          0.00041347,            0.006634,            0.006634,            0.006634
                  36,             0.14633,           0.0025017,          0.00054895,                   0,                   0,                   0,                   0,             0.15944,           0.0033122,          0.00030317,            0.006535,            0.006535,            0.006535
                  37,              0.1448,           0.0025451,          0.00065418,                   0,                   0,                   0,                   0,             0.16263,           0.0031822,          0.00038877,            0.006436,            0.006436,            0.006436
