               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1405,            0.025265,            0.023569,                   0,                   0,                   0,                   0,             0.12451,            0.010136,             0.01554,              0.0838,              0.0018,              0.0018
                   1,             0.11449,             0.02245,           0.0075327,          0.00030908,            0.029412,          0.00012164,          1.2164e-05,              0.1118,           0.0062203,           0.0086637,            0.066663,           0.0036634,           0.0036634
                   2,             0.10367,            0.017054,           0.0032261,           0.0022201,            0.058824,          0.00032796,          8.0581e-05,              0.1065,           0.0076261,           0.0066121,            0.049489,           0.0054891,           0.0054891
                   3,             0.10311,            0.016313,           0.0026599,          0.00043555,            0.029412,          8.3131e-05,          8.3131e-06,             0.10777,           0.0070214,           0.0058717,            0.032277,           0.0072772,           0.0072772
                   4,            0.096922,            0.016471,           0.0031917,                   0,                   0,                   0,                   0,             0.10264,           0.0077713,           0.0025742,            0.015028,           0.0090278,           0.0090278
                   5,            0.087823,            0.016753,           0.0029098,          9.8068e-05,            0.029412,          5.6366e-05,          5.6366e-06,             0.10256,           0.0070767,           0.0014371,            0.009505,            0.009505,            0.009505
